Date       ,Open       ,High       ,Low        ,Close      ,Adj Close  ,Volume
2022-08-18 , 90.050003 , 91.930000 , 88.519997 , 90.739998 , 90.739998 , 13418600
2022-08-19 , 90.410004 , 91.650002 , 89.180000 , 89.629997 , 89.629997 , 12364300
2022-08-22 , 89.570000 , 90.879997 , 89.300003 , 90.029999 , 90.029999 , 15545000
2022-08-23 , 89.169998 , 90.180000 , 86.709999 , 89.830002 , 89.830002 , 17345900
2022-08-24 , 87.900002 , 94.148003 , 87.550003 , 92.519997 , 92.519997 , 22808300
2022-08-25 , 96.059998 ,101.029999 , 94.949997 , 99.889999 , 99.889999 , 39170600
2022-08-26 ,104.839996 ,104.849998 , 97.610001 , 98.000000 , 98.000000 , 45773400
2022-08-29 , 98.959999 ,100.910004 , 96.480003 , 96.599998 , 96.599998 , 18323500
2022-08-30 , 95.860001 , 96.970001 , 92.620003 , 93.839996 , 93.839996 , 17865800
2022-08-31 , 96.660004 , 98.620003 , 94.919998 , 95.410004 , 95.410004 , 16169000
2022-09-01 , 92.750000 , 94.519997 , 91.669998 , 93.709999 , 93.709999 , 11929100
2022-09-02 , 91.769997 , 93.667999 , 90.769997 , 91.800003 , 91.800003 , 12378900
2022-09-06 , 89.320000 , 89.470001 , 87.800003 , 88.449997 , 88.449997 , 15573500
2022-09-07 , 88.519997 , 90.860001 , 87.755997 , 90.599998 , 90.599998 , 12753300
2022-09-08 , 88.559998 , 90.180000 , 88.279999 , 89.519997 , 89.519997 , 13291800
2022-09-09 , 91.050003 , 92.900002 , 90.720001 , 92.139999 , 92.139999 , 10745500
2022-09-12 , 92.419998 , 94.839996 , 91.809998 , 94.690002 , 94.690002 , 15604000
2022-09-13 , 90.760002 , 92.180000 , 89.230003 , 89.470001 , 89.470001 , 21149800
2022-09-14 , 89.459999 , 89.779999 , 88.169998 , 88.919998 , 88.919998 , 10843600
2022-09-15 , 88.629997 , 91.095001 , 88.199997 , 88.830002 , 88.830002 , 12188800
2022-09-16 , 87.699997 , 88.250000 , 85.419998 , 86.430000 , 86.430000 , 19322000
2022-09-19 , 85.099998 , 87.764999 , 85.000000 , 87.660004 , 87.660004 , 12822100
2022-09-20 , 87.949997 , 88.730003 , 85.010002 , 85.800003 , 85.800003 , 19129000
2022-09-21 , 85.120003 , 85.160004 , 81.500000 , 81.599998 , 81.599998 , 23847300
2022-09-22 , 82.629997 , 83.279999 , 80.169998 , 80.709999 , 80.709999 , 19141200
2022-09-23 , 79.260002 , 79.769997 , 77.599998 , 78.800003 , 78.800003 , 20492100
2022-09-26 , 79.940002 , 80.986000 , 78.779999 , 78.910004 , 78.910004 , 17880600
2022-09-27 , 79.430000 , 80.410004 , 77.099998 , 77.870003 , 77.870003 , 16975100
2022-09-28 , 76.485001 , 81.480003 , 76.279999 , 80.989998 , 80.989998 , 20725400
2022-09-29 , 78.050003 , 79.190002 , 76.739998 , 79.059998 , 79.059998 , 17913600
2022-09-30 , 78.739998 , 81.779999 , 78.650002 , 79.989998 , 79.989998 , 17116900
2022-10-03 , 79.760002 , 80.925003 , 78.050003 , 80.449997 , 80.449997 , 13249600
2022-10-04 , 83.000000 , 85.032997 , 82.339996 , 84.110001 , 84.110001 , 18252000
2022-10-05 , 84.099998 , 86.290001 , 83.250000 , 84.389999 , 84.389999 , 13194000
2022-10-06 , 84.070000 , 85.250000 , 83.519997 , 84.320000 , 84.320000 , 11583600
2022-10-07 , 82.349998 , 83.709999 , 80.754997 , 81.239998 , 81.239998 , 11632400
2022-10-10 , 79.769997 , 79.790001 , 77.699997 , 79.239998 , 79.239998 , 14070900
2022-10-11 , 77.379997 , 77.839996 , 74.139999 , 75.370003 , 75.370003 , 18387900
2022-10-12 , 74.900002 , 76.678001 , 74.029999 , 75.730003 , 75.730003 , 13247900
2022-10-13 , 72.239998 , 75.779999 , 71.400002 , 75.010002 , 75.010002 , 17563400
2022-10-14 , 76.050003 , 76.139999 , 72.779999 , 73.019997 , 73.019997 , 13675300
2022-10-17 , 75.150002 , 77.870003 , 75.110001 , 76.769997 , 76.769997 , 14487400
2022-10-18 , 78.010002 , 78.639999 , 75.059998 , 76.339996 , 76.339996 , 14970600
2022-10-19 , 73.279999 , 74.330002 , 70.519997 , 71.269997 , 71.269997 , 23094500
2022-10-20 , 71.599998 , 74.940002 , 71.550003 , 72.019997 , 72.019997 , 19173400
2022-10-21 , 71.199997 , 72.790001 , 69.464996 , 72.180000 , 72.180000 , 19526800
2022-10-24 , 63.389999 , 64.099998 , 58.009998 , 63.150002 , 63.150002 ,101023200
2022-10-25 , 65.080002 , 66.179001 , 61.259998 , 63.220001 , 63.220001 , 69302400
2022-10-26 , 63.360001 , 69.800003 , 62.919998 , 68.510002 , 68.510002 , 52957400
2022-10-27 , 65.440002 , 67.879997 , 65.419998 , 65.839996 , 65.839996 , 25812600
2022-10-28 , 63.200001 , 64.150002 , 61.820000 , 63.740002 , 63.740002 , 28638000
2022-10-31 , 63.490002 , 64.849998 , 63.220001 , 63.580002 , 63.580002 , 20645300
2022-11-01 , 68.010002 , 68.450996 , 65.639999 , 65.860001 , 65.860001 , 27257000
2022-11-02 , 66.480003 , 67.669998 , 64.330002 , 64.699997 , 64.699997 , 28298100
2022-11-03 , 63.419998 , 66.879997 , 63.400002 , 65.209999 , 65.209999 , 23360500
2022-11-04 , 71.169998 , 71.639999 , 67.449997 , 69.809998 , 69.809998 , 51292200
2022-11-07 , 71.300003 , 71.879997 , 68.671997 , 69.709999 , 69.709999 , 26087600
2022-11-08 , 67.620003 , 68.919998 , 66.269997 , 68.129997 , 68.129997 , 23870200
2022-11-09 , 66.430000 , 66.779999 , 64.800003 , 64.839996 , 64.839996 , 22099300
2022-11-10 , 68.029999 , 69.989998 , 68.000000 , 69.769997 , 69.769997 , 28757200
