2023-07-22 ,$FB ,0.9993  ,https://www.foxnews.com/tech/how-spot-red-flags-latest-facebook-marketplace-scam                                                                                                                                                                                                                                 ,How to spot red flags for this latest Facebook Marketplace scam
2023-08-05 ,$FB ,0.9958  ,https://finance.yahoo.com/news/fb-financial-nyse-fbk-paying-120550802.html                                                                                                                                                                                                                                       ,FB Financial (NYSE:FBK) Is Paying Out A Larger Dividend Than Last Year
2023-08-04 ,$FB ,0.0     ,http://himasoku.com/archives/52228294.html                                                                                                                                                                                                                                                                       ,【悲報】日本さん、童貞という概念が消失へ…
2023-07-26 ,$FB ,0.9722  ,https://www.thestar.com.my/news/nation/2023/07/26/scam-alert-fb-ads-misusing-the-star039s-branding                                                                                                                                                                                                               ,Scam alert: FB ads misusing The Star's branding
2023-08-16 ,$FB ,-0.855  ,https://www.thestar.com.my/news/nation/2023/08/16/man-arrested-for-insulting-king-through-fb-post                                                                                                                                                                                                                ,Man arrested for insulting King through FB post
2023-08-04 ,$FB ,0.8816  ,https://vikingswire.usatoday.com/2023/08/04/minnesota-vikings-sign-abram-smith-waive-zach-ojile/                                                                                                                                                                                                                 ,"Vikings announce signing of RB Abram Smith, waive FB Zach Ojile"
2023-08-13 ,$FB ,0.2023  ,https://www.hurriyet.com.tr/sporarena/fenerbahce-gaziantep-fk-maci-ne-zaman-saat-kacta-hangi-kanalda-iste-ilk-11ler-ve-canli-yayin-bilgisi-42314206                                                                                                                                                              ,"Fenerbahçe Gaziantep FK maçı ne zaman, saat kaçta, hangi kanalda? İşte ilk 11'ler ve canlı yayın bilgisi..."
2023-08-08 ,$FB ,0.9992  ,https://www.masswerk.at/nowgobang/2023/pet-keys-2001-edition                                                                                                                                                                                                                                                     ,Commodore PET Keys – Series 2001 Edition
2023-08-09 ,$FB ,0.8879  ,https://www.thestar.com.my/news/nation/2023/08/09/beware-of-scam-fb-pages-and-ads-impersonating-the-star                                                                                                                                                                                                         ,Beware of scam FB pages and ads impersonating The Star
2023-08-01 ,$FB ,-0.7506 ,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/report-texans-fb-troy-hairston-will-go-on-ir-with-herniated-disc                                                                                                                                                                                   ,Report: Texans FB Troy Hairston will go on IR with herniated disc
2023-08-08 ,$FB ,0.7964  ,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/pro-bowl-fb-patrick-ricard-working-with-ol-the-third-position-he-has-played                                                                                                                                                                        ,"Pro Bowl FB Patrick Ricard working with OL, the third position he has played"
2023-07-23 ,$FB ,0.9014  ,https://broncoswire.usatoday.com/2023/07/23/denver-broncos-tight-end-ratings-in-madden-nfl-24/                                                                                                                                                                                                                   ,Here are the TE/FB ratings for Broncos players in ‘Madden NFL 24’
2023-08-08 ,$FB ,-0.3328 ,https://ravenswire.usatoday.com/2023/08/07/ravens-fb-patrick-ricard-working-in-new-role-with-teams-offense/                                                                                                                                                                                                      ,Ravens FB Patrick Ricard working in new role with team’s offense
2023-07-25 ,$FB ,0.9983  ,https://deadline.com/2023/07/ron-sexton-dead-comedian-donnie-baker-bob-and-tom-show-1235447919/                                                                                                                                                                                                                  ,Ron Sexton Dies: Standup Comedian And Voice Of Donnie Baker On ‘The Bob & Tom Show’ Was 52
2023-08-07 ,$FB ,0.0     ,https://www.hurriyet.com.tr/sporarena/sampiyonlar-ligi-ve-konferans-ligi-kura-cekimi-ne-zaman-saat-kacta-hangi-kanalda-galatasaray-fenerbahce-besiktas-ve-adana-demirsporun-rakipleri-belli-oluyor-42310884                                                                                                      ,"Şampiyonlar Ligi ve Konferans Ligi kura çekimi ne zaman saat kaçta hangi kanalda? Galatasaray, Fenerbahçe, Beşiktaş ve Adana Demirspor'un rakipleri belli oluyor"
2023-08-17 ,$FB ,0.9948  ,https://www.onmsft.com/news/surface-pro-x-latest-update-improves-wi-fi-and-app-performance/                                                                                                                                                                                                                      ,Surface Pro X latest update improves Wi-Fi and app performance
2023-07-25 ,$FB ,0.798   ,https://kaden.watch.impress.co.jp/docs/news/1518417.html                                                                                                                                                                                                                                                         ,ブルーアーカイブ全101キャラが歩数計に。タニタとコラボ
2023-08-10 ,$FB ,0.0     ,https://www.hurriyet.com.tr/gundem/ikiz-plaka-karisikligi-42312439                                                                                                                                                                                                                                               ,İkiz plaka karışıklığı
2023-08-02 ,$FB ,0.9995  ,https://smallbiztrends.com/2023/08/how-to-start-a-plant-nursery.html                                                                                                                                                                                                                                             ,How to Start a Plant Nursery
2023-08-16 ,$FB ,0.9976  ,https://smallbiztrends.com/2023/08/best-niche-industries.html                                                                                                                                                                                                                                                    ,15 Best Niche Industries for Startups
2023-08-14 ,$FB ,0.885   ,https://www.pravda.com.ua/columns/2023/08/14/7415479/                                                                                                                                                                                                                                                            ,Міністерство поразки
2023-07-25 ,$FB ,-0.3094 ,https://www.ilfattoquotidiano.it/2023/07/25/la-nuova-fidanzata-di-mia-figlia-e-la-mia-ex-londata-di-shock-che-mi-ha-travolto-e-a-dir-poco-paralizzante-la-scoperta-sconvolgente-del-papa/7240832/                                                                                                                ,“La nuova fidanzata di mia figlia è la mia ex. L’ondata di shock che mi ha travolto è a dir poco paralizzante”: la scoperta sconvolgente del papà
2023-08-03 ,$FB ,0.4939  ,https://instapundit.com/598689/                                                                                                                                                                                                                                                                                  ,DISPATCHES FROM THE INTERSECTION OF THE DNC AND SILICON VALLEY: Biden White House asked Facebook to
2023-08-15 ,$FB ,0.1027  ,https://exler.ru/blog/chto-tam-v-mozgakh.htm                                                                                                                                                                                                                                                                     ,Что там в мозгах
2023-07-26 ,$FB ,0.9108  ,https://www.ozbargain.com.au/node/790310                                                                                                                                                                                                                                                                         ,Tasman Eco Mosman Compact Cot and Mattress Package $329 @ Big W
2023-07-25 ,$FB ,0.9787  ,https://www.neowin.net/news/threads-delivers-the-following-tab-and-some-other-features-it-promised/                                                                                                                                                                                                              ,Threads delivers the Following tab and some other features it promised
2023-07-25 ,$FB ,0.5719  ,https://technews.tw/2023/07/25/twitter-x-and-meta-x/                                                                                                                                                                                                                                                             ,尷尬！Meta 早在 2019 年註冊商標「X」，兩大巨頭新仇舊恨再添一筆
2023-08-10 ,$FB ,0.4808  ,https://www.evilhrlady.org/2023/08/drive-thru-hr-evil-hr-lady-moderators.html                                                                                                                                                                                                                                    ,Drive Thru HR: Evil HR Lady Moderators
2023-07-25 ,$FB ,0.9509  ,https://link.aps.org/doi/10.1103/PhysRevLett.131.041803                                                                                                                                                                                                                                                          ,Search for Nonresonant Pair Production of Highly Energetic Higgs Bosons Decaying to Bottom Quarks
2023-08-02 ,$FB ,0.9571  ,https://link.aps.org/doi/10.1103/PhysRevLett.131.051803                                                                                                                                                                                                                                                          ,Test of Lepton Universality in $b→s{ℓ}^{+}{ℓ}^{−}$ Decays
2023-08-02 ,$FB ,0.8807  ,https://link.aps.org/doi/10.1103/PhysRevLett.131.051804                                                                                                                                                                                                                                                          ,Test of Light-Lepton Universality in the Rates of Inclusive Semileptonic $B$-Meson Decays at Belle II
2023-07-23 ,$FB ,0.9991  ,https://www.ozbargain.com.au/node/789728                                                                                                                                                                                                                                                                         ,"[Preorder] Pokémon TCG Obsidian Flames Booster Box - $180, Case - $1060, $10 Del ($0 with $350 Order) with Code @ Mystical Merc"
2023-07-31 ,$FB ,0.9596  ,https://steelerswire.usatoday.com/2023/07/31/steelers-release-jarrid-williams-nfl-kwon-alexander/                                                                                                                                                                                                                ,Steelers release OT Jarrid Williams
2023-08-01 ,$FB ,0.7983  ,https://steelerswire.usatoday.com/2023/08/01/steelers-nfl-xfl-running-back-john-lovett/                                                                                                                                                                                                                          ,Steelers sign former XFL running back John Lovett
2023-07-30 ,$FB ,0.9869  ,https://www.ozbargain.com.au/node/791030                                                                                                                                                                                                                                                                         ,"G.skill 16GB (2x8gb) F4-3200C16D-16GIS Aegis 3200MHz DDR4 RAM $46 + Del, $0 C&C @ Umart / MSY"
2023-07-23 ,$FB ,0.0     ,https://gamebiz.jp/news/372286                                                                                                                                                                                                                                                                                   ,タニタ、『ブルーアーカイブ』コラボ商品第2弾として歩数計を発売決定！　「アロナ」も含め101種を提供！
2023-07-25 ,$FB ,0.9913  ,https://www.hdblog.it/social/articoli/n572192/twitter-cambio-nome-x-quartier-generale-problemi/                                                                                                                                                                                                                  ,"Twitter, subito problemi per il cambio del nome in sede. Ed è alto il rischio di citazioni"
2023-08-18 ,$FB ,0.3094  ,https://antyweb.pl/digital-hub-blockchain-rolnictwo                                                                                                                                                                                                                                                              ,Blockchain to nie tylko krypto i scamy. Digital Hub Warsaw w Bayerze rewolucjonizuje rolnictwo dzięki tej technologii!
2023-07-24 ,$FB ,0.9999  ,https://www.osnews.com/story/136486/introduction-to-federated-social-media/                                                                                                                                                                                                                                      ,Introduction to federated social media
2023-08-18 ,$FB ,0.8217  ,https://www.ilmilanista.it/news-milan/i-rossoneri-incremento-valore-83-percento/                                                                                                                                                                                                                                 ,"Milan, crescita di valore dell’83%: è record in Europa"
2023-08-18 ,$FB ,0.3254  ,https://number.bunshun.jp/articles/-/858480                                                                                                                                                                                                                                                                      ,「山中亮平なぜ落選？」「W杯では戦い方をガラッと変える」識者が語るラグビー日本代表メンバー“5つの焦点”…W杯のキーマンは誰？
2023-08-09 ,$FB ,0.9816  ,https://www.dailysignal.com/2023/08/09/white-house-pushed-facebook-censor-covid-19-vaccine-content-facebook-employees-leaked-white-house/                                                                                                                                                                        ,"As White House Pushed Facebook to Censor COVID-19 Vaccine Content, Facebook Employees Leaked to White House"
2023-07-28 ,$FB ,0.4615  ,https://www.dw.com/en/german-economy-stagnates-in-second-quarter/a-66374039                                                                                                                                                                                                                                      ,German economy stagnates in second quarter
2023-08-17 ,$FB ,0.9493  ,https://www.ozbargain.com.au/node/794349                                                                                                                                                                                                                                                                         ,10% off Virgin Australia Economy Choice and Economy Lite Flights with Code @ Virgin Australia
2023-08-11 ,$FB ,-0.9686 ,https://www.idnes.cz/sport/florbal/czech-open.A230811_212729_florbal_rou                                                                                                                                                                                                                                         ,Florbalisté švédského Pixba Wallenstam postoupili do finále Czech Open
2023-08-04 ,$FB ,0.9852  ,https://blogs.fangraphs.com/andrew-abbott-is-living-the-high-life/                                                                                                                                                                                                                                               ,Andrew Abbott Is Living the High Life
2023-07-26 ,$FB ,-0.8979 ,https://www.huffingtonpost.es/virales/van-museo-vaticano-novia-lia-querer-graba-apuro-pasa.html                                                                                                                                                                                                                  ,"Van al museo del Vaticano, su novia la lía sin querer y graba todo el apuro que pasa después"
2023-08-07 ,$FB ,0.729   ,https://smallbiztrends.com/2023/08/how-to-start-a-campground.html                                                                                                                                                                                                                                                ,How to Start a Campground
2023-08-16 ,$FB ,0.4939  ,https://www.ilfattoquotidiano.it/2023/08/16/quanta-napoli-ce-nelle-opere-di-picasso-cosi-si-trasformo-larte-del-pittore-malagueno-dopo-il-viaggio-in-italia/7262911/                                                                                                                                             ,Quanta Napoli c’è nelle opere di Picasso: così si trasformò l’arte del pittore malagueño dopo il viaggio in Italia
